transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX6978726,2022-05-26,93878,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.5,Suzanne Miller,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.5
TRX4949710,2023-04-02,65948,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4.4,Kathryn Mccarthy,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.9
TRX4080994,2020-07-09,37995,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4.4,Courtney Boyd,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.7
TRX6565400,2020-01-05,90734,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.6,Belinda Flores,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.6
TRX9876181,2023-07-08,47344,Kimia Farma - Apotek,Tanjungpinang,Kepulauan Riau,4.9,Phillip George,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.7
TRX9996563,2021-06-01,43007,Kimia Farma - Apotek,Ciamis,Jawa Barat,4,Lisa Campbell,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.1
TRX6539812,2021-01-25,17275,Kimia Farma - Apotek,Banda Aceh,Aceh,3.9,Linda Buchanan,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.7
TRX1232342,2023-05-30,62312,Kimia Farma - Apotek,Cianjur,Jawa Barat,4.5,Linda Butler,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.8
TRX2246416,2020-09-15,49520,Kimia Farma - Apotek,Subang,Jawa Barat,4.4,Paul Wright,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.8
TRX2927649,2023-04-17,97760,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.6,Tyler Weaver,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4
TRX3083185,2023-11-30,52192,Kimia Farma - Apotek,Karawang,Jawa Barat,4.2,Miss Maria Jensen,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.9
TRX7851532,2022-04-23,55171,Kimia Farma - Apotek,Ambon,Maluku,5,Amber Davidson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.8
TRX9076074,2022-12-29,12560,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.4,Joann Daniels,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.7
TRX5455288,2023-02-21,31935,Kimia Farma - Apotek,Tangerang,Banten,4.4,Juan Bentley,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.1
TRX2571152,2021-04-13,61344,Kimia Farma - Apotek,Padang,Sumatera Barat,4.7,Patricia Williams,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.2
TRX5651355,2023-12-26,14433,Kimia Farma - Apotek,Gorontalo,Gorontalo,4,James Patterson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.2
TRX3719390,2020-05-24,63815,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.7,Elizabeth Gutierrez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX6471973,2023-08-23,94051,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.9,Melissa Boyer,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX8383972,2020-07-22,64080,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.1,Luis Smith,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,5
TRX7734603,2021-10-28,31935,Kimia Farma - Apotek,Tangerang,Banten,4.4,Thomas Hayes,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.9
TRX7511418,2020-05-31,12802,Kimia Farma - Apotek,Garut,Jawa Barat,4.1,Brandi Martin,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.1
TRX3291498,2021-11-24,57026,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.1,Jenny Miranda,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.5
TRX6938546,2021-06-25,47503,Kimia Farma - Apotek,Denpasar,Bali,4.1,Max Sutton,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.9
TRX9380202,2020-11-26,98676,Kimia Farma - Apotek,Malang,Jawa Timur,4.4,Michael Myers,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.2
TRX9780063,2023-09-08,37734,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.6,Omar Carney,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.6
TRX3565472,2022-11-24,84922,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.1,Susan Bradley,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.5
TRX5886944,2023-09-07,64238,Kimia Farma - Apotek,Jakarta,DKI Jakarta,4,James Kim,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.6
TRX5596142,2021-07-21,66525,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.7,Emily Kelly,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.4
TRX8801605,2020-10-16,96558,Kimia Farma - Apotek,Denpasar,Bali,4.7,Andrea Campos,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX1079785,2021-05-13,33816,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4,Kyle Conley,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.2
TRX6387421,2023-12-24,81651,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,John Willis,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX9584952,2021-10-08,59275,Kimia Farma - Apotek,Garut,Jawa Barat,4.6,Katie Flores MD,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.5
TRX6445517,2023-11-18,80557,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4,Stephen Marshall,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.2
TRX2616052,2022-05-22,31604,Kimia Farma - Apotek,Pontianak,Kalimantan Barat,4.4,Tiffany Berry,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.7
TRX2619435,2022-10-17,59275,Kimia Farma - Apotek,Garut,Jawa Barat,4.6,William Anderson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.8
TRX6802081,2020-08-20,34489,Kimia Farma - Apotek,Garut,Jawa Barat,4.4,Paul Rivera,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.2
TRX6231326,2020-02-02,96487,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.8,Jillian Adams,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX7662179,2022-12-17,59765,Kimia Farma - Apotek,Garut,Jawa Barat,4.1,Monica Kelly,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3
TRX6591288,2022-06-07,99182,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.6,Kevin Bernard,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.8
TRX5777638,2021-02-20,11400,Kimia Farma - Apotek,Ambon,Maluku,4.1,Warren Snyder,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,5
TRX4786828,2022-10-08,77512,Kimia Farma - Apotek,Cirebon,Jawa Barat,4.5,Jake Hammond,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.1
TRX5046417,2022-03-22,42820,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.1,Andrew Bates,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.7
TRX5980087,2020-01-15,73625,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,4.9,Lisa Thompson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.2
TRX3119648,2020-09-16,77824,Kimia Farma - Apotek,Banda Aceh,Aceh,4.5,Jessica Hood,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX9798966,2022-12-09,75181,Kimia Farma - Apotek,Palembang,Sumatera Selatan,4.4,Thomas Bullock,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.7
TRX1161346,2020-06-29,67921,Kimia Farma - Apotek,Ternate,Maluku Utara,5,Sandra Jacobs,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.5
TRX1759332,2023-03-10,51463,Kimia Farma - Apotek,Ternate,Maluku Utara,4.4,Grant Vargas,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.8
TRX7265319,2023-01-29,58354,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,William Hardy,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX4859587,2020-02-03,50014,Kimia Farma - Apotek,Malang,Jawa Timur,4.4,April Graham,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.1
TRX5927534,2021-04-01,35964,Kimia Farma - Apotek,Lhokseumawe,Aceh,4.3,Eduardo Gonzales,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.7
TRX4200680,2022-02-11,34030,Kimia Farma - Apotek,Solok,Sumatera Barat,4.2,Corey Bailey,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.1
TRX6705321,2020-11-25,65138,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,4.5,Steven Smith,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX4183088,2022-09-24,59449,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Amanda Coleman,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,5
TRX7687346,2022-05-14,21171,Kimia Farma - Apotek,Indramayu,Jawa Barat,4,Robert Mendoza,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3
TRX4570894,2022-03-28,21840,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.9,Justin Grimes,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX9740153,2022-06-01,99424,Kimia Farma - Apotek,Kuningan,Jawa Barat,5,Veronica Cooper,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.5
TRX7899036,2021-05-19,12369,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.4,Melissa Simmons,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.3
TRX8477419,2023-01-26,46468,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,4.7,Kathryn Ross,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.8
TRX4131264,2022-09-23,30539,Kimia Farma - Apotek,Kuningan,Jawa Barat,4.4,Joshua Jackson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX7325339,2020-12-30,23248,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,4.1,Jonathan Hall,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.5
TRX2417503,2022-07-13,49520,Kimia Farma - Apotek,Subang,Jawa Barat,4.4,Melissa Hughes,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX5221537,2023-09-23,16158,Kimia Farma - Apotek,Subang,Jawa Barat,5,Kendra Williams,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX1122865,2022-06-25,20382,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.2,Lindsey Smith,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.4
TRX7168687,2022-06-04,90334,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4.4,Jessica Green,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.9
TRX2896464,2022-06-24,14799,Kimia Farma - Apotek,Ambon,Maluku,4.6,Jason Cobb,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.9
TRX2639275,2022-02-05,24963,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.2,Kristine Mcintosh,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.9
TRX2115826,2021-02-11,29933,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.2,Wayne Sanchez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4
TRX8207097,2021-03-04,30970,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.9,Beth Jones,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.3
TRX5595681,2023-02-15,70971,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.8,Lauren Young,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.2
TRX7650967,2023-10-07,64080,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.1,Cristina Olson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.4
TRX8420995,2023-06-28,35930,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.1,Samuel Villarreal,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3
TRX5696502,2023-09-19,16339,Kimia Farma - Apotek,Subang,Jawa Barat,4.7,Maurice Riley,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.9
TRX2513995,2020-10-07,93257,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,4.6,Susan Sanchez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX4495233,2022-05-07,75503,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.7,Daniel Rollins,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4
TRX8685362,2020-03-06,69575,Kimia Farma - Apotek,Garut,Jawa Barat,4.2,Samuel Garner,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.5
TRX8256102,2022-05-29,28460,Kimia Farma - Apotek,Jambi,Jambi,4.2,Jonathan Richardson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.8
TRX5437346,2023-12-09,96558,Kimia Farma - Apotek,Denpasar,Bali,4.7,Stephanie Cobb,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.1
TRX2020418,2021-02-26,81651,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Selena Lopez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.2
TRX7187867,2021-06-01,21583,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.9,Jennifer Phillips,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.2
TRX9536450,2023-11-14,16339,Kimia Farma - Apotek,Subang,Jawa Barat,4.7,Cynthia Vargas,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.7
TRX7518165,2022-08-17,39523,Kimia Farma - Apotek,Garut,Jawa Barat,4.3,Richard Miller,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.1
TRX1109225,2020-06-29,18983,Kimia Farma - Apotek,Solok,Sumatera Barat,4.8,Cheryl Gill,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.4
TRX5884249,2022-09-03,13089,Kimia Farma - Apotek,Subang,Jawa Barat,4.1,Ann Willis,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.8
TRX1143290,2021-06-08,59449,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Tina Taylor,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.7
TRX1597389,2022-09-09,87969,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.4,Justin Ellis,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.4
TRX2532867,2023-08-23,63673,Kimia Farma - Apotek,Sorong,Papua Barat,4.8,James Cooper,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX7966622,2023-11-19,58354,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Gabriel Patel,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4
TRX5661368,2022-03-21,85287,Kimia Farma - Apotek,Sorong,Papua Barat,4.9,Michael Hayes,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.4
TRX7089127,2021-06-05,88089,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Vincent Robertson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.9
TRX3955001,2022-02-13,15949,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.6,Tara Mitchell MD,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.9
TRX6224293,2022-03-21,41183,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.8,Brooke Patrick,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX2041123,2022-12-14,84935,Kimia Farma - Apotek,Palangkaraya,Kalimantan Tengah,4.2,Lori Jones,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.3
TRX6080961,2022-07-08,48130,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.7,Sandra Mendez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.9
TRX7210342,2023-07-01,48388,Kimia Farma - Apotek,Palangkaraya,Kalimantan Tengah,4,James Small,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.6
TRX4618838,2022-03-29,30333,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.6,Samantha Ramos,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX6310339,2022-11-13,51302,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.6,Tiffany Berry,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.5
TRX4981906,2023-09-10,78158,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.1,Ebony Williams,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.6
TRX4060557,2021-06-20,65947,Kimia Farma - Apotek,Pontianak,Kalimantan Barat,5,Kim Maxwell,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX3193958,2021-07-24,15917,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.8,Crystal Jefferson,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,5
TRX7166251,2020-11-23,20382,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.2,Gabriella Rush,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.2
TRX6601695,2022-08-25,78158,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.1,Kendra Brown,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.5
TRX1270426,2022-06-12,67081,Kimia Farma - Apotek,Kuningan,Jawa Barat,4.8,David Roberts,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.8
TRX6556807,2020-07-18,23471,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.3,Angelica Allen,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.1
TRX7041822,2020-07-30,57562,Kimia Farma - Apotek,Probolinggo,Jawa Timur,5,Shaun Clark,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.6
TRX6126801,2023-03-07,96065,Kimia Farma - Apotek,Karawang,Jawa Barat,5,Kristin Lee,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.6
TRX5652726,2023-05-10,65902,Kimia Farma - Apotek,Balikpapan,Kalimantan Timur,4.2,William Brown,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.2
TRX9072011,2022-10-02,73710,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4,Alicia Martin,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.8
TRX7029906,2022-12-11,14693,Kimia Farma - Apotek,Karawang,Jawa Barat,3.9,Adam Clark,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,3.7
TRX8079000,2023-04-17,47503,Kimia Farma - Apotek,Denpasar,Bali,4.1,Gregory Brown,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.1
TRX9121993,2022-07-21,23145,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.3,Holly Weber,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.14,0.1,2097.06,209.70600000000002,4.9
